ano,epiweek,casos,territory_name,situation_name,value
2009,1,0,Acre,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Alagoas,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Amapá,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Amazonas,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Bahia,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Ceará,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Distrito Federal,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Espírito Santo,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Goiás,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Maranhão,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Mato Grosso,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Mato Grosso do Sul,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Minas Gerais,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Paraná,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Paraíba,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Pará,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Pernambuco,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Piauí,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Rio Grande do Norte,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Rio Grande do Sul,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Rio de Janeiro,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Rondônia,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Roraima,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Santa Catarina,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Sergipe,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,São Paulo,Dado estável. Sujeito a pequenas alterações.,0
2009,1,0,Tocantins,Dado estável. Sujeito a pequenas alterações.,0
2010,1,1,Acre,Dado estável. Sujeito a pequenas alterações.,1 (0.6 % do país)
2010,1,0,Alagoas,Dado estável. Sujeito a pequenas alterações.,0
2010,1,0,Amapá,Dado estável. Sujeito a pequenas alterações.,0
2010,1,2,Amazonas,Dado estável. Sujeito a pequenas alterações.,2 (1.2 % do país)
2010,1,1,Bahia,Dado estável. Sujeito a pequenas alterações.,1 (0.6 % do país)
2010,1,2,Ceará,Dado estável. Sujeito a pequenas alterações.,2 (1.2 % do país)
2010,1,1,Distrito Federal,Dado estável. Sujeito a pequenas alterações.,1 (0.6 % do país)
2010,1,0,Espírito Santo,Dado estável. Sujeito a pequenas alterações.,0
2010,1,6,Goiás,Dado estável. Sujeito a pequenas alterações.,6 (3.7 % do país)
2010,1,0,Maranhão,Dado estável. Sujeito a pequenas alterações.,0
2010,1,3,Mato Grosso,Dado estável. Sujeito a pequenas alterações.,3 (1.9 % do país)
2010,1,0,Mato Grosso do Sul,Dado estável. Sujeito a pequenas alterações.,0
2010,1,8,Minas Gerais,Dado estável. Sujeito a pequenas alterações.,8 (4.9 % do país)
2010,1,46,Paraná,Dado estável. Sujeito a pequenas alterações.,46 (28.4 % do país)
2010,1,0,Paraíba,Dado estável. Sujeito a pequenas alterações.,0
2010,1,7,Pará,Dado estável. Sujeito a pequenas alterações.,7 (4.3 % do país)
2010,1,2,Pernambuco,Dado estável. Sujeito a pequenas alterações.,2 (1.2 % do país)
2010,1,1,Piauí,Dado estável. Sujeito a pequenas alterações.,1 (0.6 % do país)
2010,1,8,Rio Grande do Norte,Dado estável. Sujeito a pequenas alterações.,8 (4.9 % do país)
2010,1,1,Rio Grande do Sul,Dado estável. Sujeito a pequenas alterações.,1 (0.6 % do país)
