index,Mulheres,Homens,Sexo.ignorado,Total,url,ano,epiweek
< 2 anos,0,0,0,0,http://info.gripe.fiocruz.br/data/detailed/1/2/2009/1/Brasil/age-distribution,2009,1
2-4 anos,0,0,0,0,http://info.gripe.fiocruz.br/data/detailed/1/2/2009/1/Brasil/age-distribution,2009,1
5-9 anos,0,0,0,0,http://info.gripe.fiocruz.br/data/detailed/1/2/2009/1/Brasil/age-distribution,2009,1
10-19 anos,0,0,0,0,http://info.gripe.fiocruz.br/data/detailed/1/2/2009/1/Brasil/age-distribution,2009,1
20-29 anos,0,0,0,0,http://info.gripe.fiocruz.br/data/detailed/1/2/2009/1/Brasil/age-distribution,2009,1
30-39 anos,0,0,0,0,http://info.gripe.fiocruz.br/data/detailed/1/2/2009/1/Brasil/age-distribution,2009,1
40-49 anos,0,0,0,0,http://info.gripe.fiocruz.br/data/detailed/1/2/2009/1/Brasil/age-distribution,2009,1
50-59 anos,0,0,0,0,http://info.gripe.fiocruz.br/data/detailed/1/2/2009/1/Brasil/age-distribution,2009,1
60+ anos,0,0,0,0,http://info.gripe.fiocruz.br/data/detailed/1/2/2009/1/Brasil/age-distribution,2009,1
< 2 anos,10,13,0,23,http://info.gripe.fiocruz.br/data/detailed/1/2/2010/1/Brasil/age-distribution,2010,1
2-4 anos,2,7,0,9,http://info.gripe.fiocruz.br/data/detailed/1/2/2010/1/Brasil/age-distribution,2010,1
5-9 anos,4,4,0,8,http://info.gripe.fiocruz.br/data/detailed/1/2/2010/1/Brasil/age-distribution,2010,1
10-19 anos,9,9,0,18,http://info.gripe.fiocruz.br/data/detailed/1/2/2010/1/Brasil/age-distribution,2010,1
20-29 anos,13,8,0,21,http://info.gripe.fiocruz.br/data/detailed/1/2/2010/1/Brasil/age-distribution,2010,1
30-39 anos,14,15,0,29,http://info.gripe.fiocruz.br/data/detailed/1/2/2010/1/Brasil/age-distribution,2010,1
40-49 anos,10,10,0,20,http://info.gripe.fiocruz.br/data/detailed/1/2/2010/1/Brasil/age-distribution,2010,1
50-59 anos,8,5,0,13,http://info.gripe.fiocruz.br/data/detailed/1/2/2010/1/Brasil/age-distribution,2010,1
60+ anos,11,10,0,21,http://info.gripe.fiocruz.br/data/detailed/1/2/2010/1/Brasil/age-distribution,2010,1
< 2 anos,1,7,0,8,http://info.gripe.fiocruz.br/data/detailed/1/2/2011/1/Brasil/age-distribution,2011,1
2-4 anos,1,0,0,1,http://info.gripe.fiocruz.br/data/detailed/1/2/2011/1/Brasil/age-distribution,2011,1
5-9 anos,0,1,0,1,http://info.gripe.fiocruz.br/data/detailed/1/2/2011/1/Brasil/age-distribution,2011,1
10-19 anos,1,2,0,3,http://info.gripe.fiocruz.br/data/detailed/1/2/2011/1/Brasil/age-distribution,2011,1
20-29 anos,1,1,0,2,http://info.gripe.fiocruz.br/data/detailed/1/2/2011/1/Brasil/age-distribution,2011,1
30-39 anos,2,2,0,4,http://info.gripe.fiocruz.br/data/detailed/1/2/2011/1/Brasil/age-distribution,2011,1
40-49 anos,2,3,0,5,http://info.gripe.fiocruz.br/data/detailed/1/2/2011/1/Brasil/age-distribution,2011,1
50-59 anos,2,1,0,3,http://info.gripe.fiocruz.br/data/detailed/1/2/2011/1/Brasil/age-distribution,2011,1
60+ anos,2,1,0,3,http://info.gripe.fiocruz.br/data/detailed/1/2/2011/1/Brasil/age-distribution,2011,1
< 2 anos,16,9,0,25,http://info.gripe.fiocruz.br/data/detailed/1/2/2012/1/Brasil/age-distribution,2012,1
2-4 anos,3,0,0,3,http://info.gripe.fiocruz.br/data/detailed/1/2/2012/1/Brasil/age-distribution,2012,1
5-9 anos,2,0,0,2,http://info.gripe.fiocruz.br/data/detailed/1/2/2012/1/Brasil/age-distribution,2012,1
10-19 anos,2,1,0,3,http://info.gripe.fiocruz.br/data/detailed/1/2/2012/1/Brasil/age-distribution,2012,1
20-29 anos,6,4,0,10,http://info.gripe.fiocruz.br/data/detailed/1/2/2012/1/Brasil/age-distribution,2012,1
30-39 anos,2,5,0,7,http://info.gripe.fiocruz.br/data/detailed/1/2/2012/1/Brasil/age-distribution,2012,1
40-49 anos,3,3,0,6,http://info.gripe.fiocruz.br/data/detailed/1/2/2012/1/Brasil/age-distribution,2012,1
50-59 anos,3,3,0,6,http://info.gripe.fiocruz.br/data/detailed/1/2/2012/1/Brasil/age-distribution,2012,1
60+ anos,3,5,0,8,http://info.gripe.fiocruz.br/data/detailed/1/2/2012/1/Brasil/age-distribution,2012,1
< 2 anos,12,14,0,26,http://info.gripe.fiocruz.br/data/detailed/1/2/2013/1/Brasil/age-distribution,2013,1
2-4 anos,3,2,0,5,http://info.gripe.fiocruz.br/data/detailed/1/2/2013/1/Brasil/age-distribution,2013,1
5-9 anos,2,1,0,3,http://info.gripe.fiocruz.br/data/detailed/1/2/2013/1/Brasil/age-distribution,2013,1
10-19 anos,2,0,0,2,http://info.gripe.fiocruz.br/data/detailed/1/2/2013/1/Brasil/age-distribution,2013,1
20-29 anos,7,2,0,9,http://info.gripe.fiocruz.br/data/detailed/1/2/2013/1/Brasil/age-distribution,2013,1
30-39 anos,1,2,0,3,http://info.gripe.fiocruz.br/data/detailed/1/2/2013/1/Brasil/age-distribution,2013,1
40-49 anos,3,3,0,6,http://info.gripe.fiocruz.br/data/detailed/1/2/2013/1/Brasil/age-distribution,2013,1
50-59 anos,3,4,0,7,http://info.gripe.fiocruz.br/data/detailed/1/2/2013/1/Brasil/age-distribution,2013,1
60+ anos,6,7,0,13,http://info.gripe.fiocruz.br/data/detailed/1/2/2013/1/Brasil/age-distribution,2013,1
< 2 anos,7,12,0,19,http://info.gripe.fiocruz.br/data/detailed/1/2/2014/1/Brasil/age-distribution,2014,1
2-4 anos,3,3,0,6,http://info.gripe.fiocruz.br/data/detailed/1/2/2014/1/Brasil/age-distribution,2014,1
5-9 anos,0,0,0,0,http://info.gripe.fiocruz.br/data/detailed/1/2/2014/1/Brasil/age-distribution,2014,1
10-19 anos,4,4,0,8,http://info.gripe.fiocruz.br/data/detailed/1/2/2014/1/Brasil/age-distribution,2014,1
20-29 anos,5,5,0,10,http://info.gripe.fiocruz.br/data/detailed/1/2/2014/1/Brasil/age-distribution,2014,1
30-39 anos,3,2,0,5,http://info.gripe.fiocruz.br/data/detailed/1/2/2014/1/Brasil/age-distribution,2014,1
40-49 anos,0,4,0,4,http://info.gripe.fiocruz.br/data/detailed/1/2/2014/1/Brasil/age-distribution,2014,1
50-59 anos,3,4,0,7,http://info.gripe.fiocruz.br/data/detailed/1/2/2014/1/Brasil/age-distribution,2014,1
60+ anos,8,13,0,21,http://info.gripe.fiocruz.br/data/detailed/1/2/2014/1/Brasil/age-distribution,2014,1
< 2 anos,18,24,0,42,http://info.gripe.fiocruz.br/data/detailed/1/2/2015/1/Brasil/age-distribution,2015,1
2-4 anos,3,3,0,6,http://info.gripe.fiocruz.br/data/detailed/1/2/2015/1/Brasil/age-distribution,2015,1
5-9 anos,1,4,0,5,http://info.gripe.fiocruz.br/data/detailed/1/2/2015/1/Brasil/age-distribution,2015,1
10-19 anos,1,6,0,7,http://info.gripe.fiocruz.br/data/detailed/1/2/2015/1/Brasil/age-distribution,2015,1
20-29 anos,5,2,0,7,http://info.gripe.fiocruz.br/data/detailed/1/2/2015/1/Brasil/age-distribution,2015,1
30-39 anos,3,4,0,7,http://info.gripe.fiocruz.br/data/detailed/1/2/2015/1/Brasil/age-distribution,2015,1
40-49 anos,3,5,0,8,http://info.gripe.fiocruz.br/data/detailed/1/2/2015/1/Brasil/age-distribution,2015,1
50-59 anos,3,3,0,6,http://info.gripe.fiocruz.br/data/detailed/1/2/2015/1/Brasil/age-distribution,2015,1
